986c 顬
98ba 颺
98c8 飈
98e7 飧
9958 饘
999e 馞
9a02 騂
9a03 騃
9a24 騤
9a2d 騭
9a2e 騮
9a38 騸
9a4a 驊
9a4e 驎
9a52 驒
9ab6 骶
9ac1 髁
9ac3 髃
9ace 髎
9ad6 髖
9af9 髹
9b02 鬂
9b08 鬈
9b20 鬠
9b2d 鬭
9b5e 魞
9b66 魦
9b72 魲
9b75 魵
9b79 魹
9b84 鮄
9b8a 鮊
9b8f 鮏
9b9e 鮞
9ba7 鮧
9bc1 鯁
9bce 鯎
9be5 鯥
9bf8 鯸
9bfd 鯽
9c00 鰀
9c23 鰣
9c41 鱁
9c4f 鱏
9c50 鱐
9c53 鱓
9c63 鱣
9c65 鱥
9c77 鱷
9d1d 鴝
9d1e 鴞
9d43 鵃
9d47 鵇
9d52 鵒
9d63 鵣
9d70 鵰
9d7c 鵼
9d8a 鶊
9d96 鶖
9dac 鶬
9dbc 鶼
9dc0 鷀
9dd7 鷗
9de7 鷧
9e07 鸇
9e15 鸕
9e7c 鹼
9e9e 麞
9ea4 麤
9eac 麬
9eaf 麯
9eb4 麴
9eb5 麵
9ec3 黃
9ed1 黑
9f10 鼐
9f39 鼹
9f57 齗
9f90 龐
9f94 龔
9f97 龗
9fa2 龢
f91d 欄
f928 廊
f929 朗
f936 虜
f970 殺
f9d0 類
f9dc 隆
fa0f 﨏
fa10 塚
fa11 﨑
fa14 﨔
fa15 凞
fa16 猪
fa19 神
fa1a 祥
fa1b 福
fa1f 﨟
fa22 諸
fa26 都
fa30 侮
fa31 僧
fa32 免
fa33 勉
fa34 勤
fa35 卑
fa36 喝
fa37 嘆
fa38 器
fa39 塀
fa3a 墨
fa3b 層
fa3c 屮
fa3d 悔
fa3e 慨
fa3f 憎
fa40 懲
fa41 敏
fa42 既
fa43 暑
fa44 梅
fa45 海
fa46 渚
fa47 漢
fa48 煮
fa4a 琢
fa4b 碑
fa4c 社
fa4d 祉
fa4e 祈
fa4f 祐
fa50 祖
fa51 祝
fa52 禍
fa53 禎
fa54 穀
fa55 突
fa56 節
fa57 練
fa59 繁
fa5a 署
fa5b 者
fa5c 臭
fa5f 著
fa60 褐
fa61 視
fa62 謁
fa63 謹
fa64 賓
fa65 贈
fa67 逸
fa68 難
fa69 響
fa6a 頻
2000b 𠀋
20b9f 𠮟
2123d 𡈽
2131b 𡌛
2146e 𡑮
216b4 𡚴
218bd 𡢽
21e34 𡸴
231c4 𣇄
235c4 𣗄
2373f 𣜿
23763 𣝣
23cfe 𣳾
247f1 𤟱
2548e 𥒎
2550e 𥔎
25771 𥝱
259c4 𥧄
25da1 𥶡
26aff 𦫿
26e40 𦹀
270f4 𧃴
27684 𧚄
28277 𨉷
283cd 𨏍
2a190 𪆐
