810a 脊
811a 脚
8131 脱
8133 脳
814e 腎
8150 腐
8155 腕
816b 腫
8170 腰
8178 腸
8179 腹
817a 腺
819a 膚
819c 膜
819d 膝
81a8 膨
81b3 膳
81c6 臆
81d3 臓
81e3 臣
81e8 臨
81ea 自
81ed 臭
81f3 至
81f4 致
81fc 臼
8208 興
820c 舌
820e 舎
8217 舗
821e 舞
821f 舟
822a 航
822c 般
8236 舶
8237 舷
8239 船
8247 艇
8266 艦
826f 良
8272 色
8276 艶
828b 芋
829d 芝
82af 芯
82b1 花
82b3 芳
82b8 芸
82bd 芽
82d7 苗
82db 苛
82e5 若
82e6 苦
82f1 英
8302 茂
830e 茎
8328 茨
8336 茶
8349 草
8352 荒
8358 荘
8377 荷
83ca 菊
83cc 菌
83d3 菓
83dc 菜
83ef 華
840e 萎
843d 落
8449 葉
8457 著
845b 葛
846c 葬
84b8 蒸
84c4 蓄
84cb 蓋
8511 蔑
8535 蔵
853d 蔽
8584 薄
85a6 薦
85aa 薪
85ab 薫
85ac 薬
85cd 藍
85e4 藤
85e9 藩
85fb 藻
864e 虎
8650 虐
865a 虚
865c 虜
865e 虞
866b 虫
8679 虹
868a 蚊
8695 蚕
86c7 蛇
86cd 蛍
86ee 蛮
8702 蜂
871c 蜜
878d 融
8840 血
8846 衆
884c 行
8853 術
8857 街
885b 衛
885d 衝
8861 衡
8863 衣
8868 表
8870 衰
8877 衷
888b 袋
8896 袖
88ab 被
88c1 裁
88c2 裂
88c5 装
88cf 裏
88d5 裕
88dc 補
88f8 裸
88fd 製
88fe 裾
8907 複
8910 褐
8912 褒
895f 襟
8972 襲
897f 西
8981 要
8986 覆
8987 覇
898b 見
898f 規
8996 視
899a 覚
89a7 覧
89aa 親
89b3 観
89d2 角
89e3 解
89e6 触
8a00 言
8a02 訂
8a03 訃
8a08 計
8a0e 討
8a13 訓
8a17 託
8a18 記
8a1f 訟
8a2a 訪
8a2d 設
8a31 許
8a33 訳
8a34 訴
8a3a 診
8a3c 証
8a50 詐
8a54 詔
8a55 評
8a5e 詞
8a60 詠
8a63 詣
8a66 試
8a69 詩
8a6e 詮
8a70 詰
8a71 話
8a72 該
8a73 詳
8a87 誇
8a89 誉
8a8c 誌
8a8d 認
8a93 誓
8a95 誕
8a98 誘
8a9e 語
8aa0 誠
8aa4 誤
8aac 説
8aad 読
8ab0 誰
8ab2 課
8abf 調
8ac7 談
8acb 請
8ad6 論
8ae6 諦
8ae7 諧
8aed 諭
8aee 諮
8af8 諸
8afe 諾
8b00 謀
8b01 謁
8b04 謄
8b0e 謎
8b19 謙
8b1b 講
8b1d 謝
8b21 謡
8b39 謹
8b58 識
8b5c 譜
8b66 警
8b70 議
8b72 譲
8b77 護
8c37 谷
8c46 豆
8c4a 豊
8c5a 豚
8c61 象
8c6a 豪
8c8c 貌
8c9d 貝
8c9e 貞
8ca0 負
8ca1 財
8ca2 貢
8ca7 貧
8ca8 貨
8ca9 販
8caa 貪
8cab 貫
8cac 責
8caf 貯
8cb4 貴
8cb7 買
8cb8 貸
8cbb 費
8cbc 貼
8cbf 貿
8cc0 賀
8cc2 賂
8cc3 賃
8cc4 賄
8cc7 資
8cca 賊
8cd3 賓
8cdb 賛
8cdc 賜
8cde 賞
8ce0 賠
8ce2 賢
8ce6 賦
8cea 質
8ced 賭
8cfc 購
8d08 贈
8d64 赤
8d66 赦
8d70 走
8d74 赴
8d77 起
8d85 超
8d8a 越
8da3 趣
8db3 足
8ddd 距
8de1 跡
8def 路
8df3 跳
8df5 践
8e0a 踊
8e0f 踏
8e2a 踪
8e74 蹴
8e8d 躍
8eab 身
8eca 車
8ecc 軌
8ecd 軍
8ed2 軒
8edf 軟
8ee2 転
8ef8 軸
8efd 軽
8f03 較
8f09 載
8f1d 輝
8f29 輩
8f2a 輪
8f38 輸
8f44 轄
8f9b 辛
8f9e 辞
8fa3 辣
8fb1 辱
8fb2 農
8fba 辺
8fbc 込
8fc5 迅
8fce 迎
8fd1 近
8fd4 返
8feb 迫
8fed 迭
8ff0 述
8ff7 迷
8ffd 追
9000 退
9001 送
9003 逃
9006 逆
900f 透
9010 逐
9013 逓
9014 途
901a 通
901d 逝
901f 速
9020 造
9023 連
902e 逮
9031 週
9032 進
9038 逸
9042 遂
9045 遅
9047 遇
904a 遊
904b 運
904d 遍
904e 過
9053 道
9054 達
9055 違
905c 遜
9060 遠
9061 遡
9063 遣
9069 適
906d 遭
906e 遮
9075 遵
9077 遷
9078 選
907a 遺
907f 避
9084 還
90a3 那
90a6 邦
90aa 邪
90b8 邸
90ca 郊
90ce 郎
90e1 郡
90e8 部
90ed 郭
90f5 郵
90f7 郷
90fd 都
914c 酌
914d 配
914e 酎
9152 酒
9154 酔
9162 酢
916a 酪
916c 酬
9175 酵
9177 酷
9178 酸
9192 醒
919c 醜
91b8 醸
91c7 采
91c8 釈
91cc 里
91cd 重
91ce 野
91cf 量
91d1 金
91dc 釜
91dd 針
91e3 釣
920d 鈍
9234 鈴
9244 鉄
925b 鉛
9262 鉢
9271 鉱
9280 銀
9283 銃
9285 銅
9298 銘
92ad 銭
92ed 鋭
92f3 鋳
92fc 鋼
9320 錠
9326 錦
932c 錬
932e 錮
932f 錯
9332 録
934b 鍋
935b 鍛
9375 鍵
938c 鎌
9396 鎖
93ae 鎮
93e1 鏡
9418 鐘
9451 鑑
9577 長
9580 門
9589 閉
958b 開
9591 閑
9593 間
95a2 関
95a3 閣
95a5 閥
95b2 閲
95c7 闇
95d8 闘
961c 阜
962a 阪
9632 防
963b 阻
9644 附
964d 降
9650 限
965b 陛
9662 院
9663 陣
9664 除
9665 陥
966a 陪
9670 陰
9673 陳
9675 陵
9676 陶
9678 陸
967a 険
967d 陽
9685 隅
9686 隆
968a 隊
968e 階
968f 随
9694 隔
9699 隙
969b 際
969c 障
96a0 隠
96a3 隣
96b7 隷
96bb 隻
96c4 雄
96c5 雅
96c6 集
96c7 雇
96cc 雌
96d1 雑
96e2 離
96e3 難
96e8 雨
96ea 雪
96f0 雰
96f2 雲
96f6 零
96f7 雷
96fb 電
9700 需
9707 震
970a 霊
971c 霜
9727 霧
9732 露
9752 青
9759 静
975e 非
9762 面
9769 革
9774 靴
97d3 韓
97f3 音
97fb 韻
97ff 響
9802 頂
9803 頃
9805 項
9806 順
9808 須
9810 預
9811 頑
9812 頒
9813 頓
9818 領
982c 頬
982d 頭
983b 頻
983c 頼
984c 題
984d 額
984e 顎
9854 顔
9855 顕
9858 願
985e 類
9867 顧
98a8 風
98db 飛
98df 食
98e2 飢
98ef 飯
98f2 飲
98fc 飼
98fd 飽
98fe 飾
9905 餅
990a 養
990c 餌
9913 餓
9928 館
9996 首
9999 香
99ac 馬
99c4 駄
99c5 駅
99c6 駆
99d0 駐
99d2 駒
9a0e 騎
9a12 騒
9a13 験
9a30 騰
9a5a 驚
9aa8 骨
9ab8 骸
9ac4 髄
9ad8 高
9aea 髪
9b31 鬱
9b3c 鬼
9b42 魂
9b45 魅
9b54 魔
9b5a 魚
9bae 鮮
9be8 鯨
9ce5 鳥
9cf4 鳴
9d8f 鶏
9db4 鶴
9e7f 鹿
9e93 麓
9e97 麗
9ea6 麦
9eba 麺
9ebb 麻
9ec4 黄
9ed2 黒
9ed9 黙
9f13 鼓
9f3b 鼻
9f62 齢
