7523 産
7525 甥
7528 用
752b 甫
7530 田
7531 由
7532 甲
7533 申
7537 男
753a 町
753b 画
754c 界
754f 畏
7551 畑
7554 畔
7559 留
755c 畜
755d 畝
7560 畠
7562 畢
7565 略
7566 畦
756a 番
7570 異
7573 畳
7577 畷
757f 畿
758b 疋
758e 疎
758f 疏
7591 疑
75ab 疫
75b2 疲
75b9 疹
75be 疾
75c5 病
75c7 症
75d4 痔
75d5 痕
75d8 痘
75db 痛
75e2 痢
75e9 痩
75f4 痴
7642 療
764c 癌
7652 癒
7656 癖
767a 発
767b 登
767d 白
767e 百
7684 的
7686 皆
7687 皇
7690 皐
76ae 皮
76bf 皿
76c3 盃
76c6 盆
76c8 盈
76ca 益
76d7 盗
76db 盛
76df 盟
76e3 監
76e4 盤
76ee 目
76f2 盲
76f4 直
76f8 相
76fe 盾
7701 省
7709 眉
770b 看
770c 県
771f 真
7720 眠
773a 眺
773c 眼
7740 着
7761 睡
7763 督
7766 睦
77a5 瞥
77ac 瞬
77ad 瞭
77b3 瞳
77db 矛
77e2 矢
77e5 知
77e7 矧
77e9 矩
77ed 短
77ef 矯
77f3 石
7802 砂
7814 研
7815 砕
7825 砥
7826 砦
7827 砧
7832 砲
7834 破
783a 砺
783f 砿
785d 硝
786b 硫
786c 硬
786f 硯
7872 硲
7881 碁
7887 碇
788d 碍
7891 碑
7893 碓
7895 碕
7897 碗
78a7 碧
78a9 碩
78ba 確
78c1 磁
78d0 磐
78e8 磨
78ef 磯
7901 礁
790e 礎
793a 示
793c 礼
793e 社
7941 祁
7947 祇
7948 祈
7949 祉
7950 祐
7956 祖
795d 祝
795e 神
7962 祢
7965 祥
7968 票
796d 祭
7977 祷
7981 禁
7984 禄
7985 禅
798d 禍
798e 禎
798f 福
79a6 禦
79b0 禰
79bd 禽
79be 禾
79bf 禿
79c0 秀
79c1 私
79cb 秋
79d1 科
79d2 秒
79d8 秘
79df 租
79e4 秤
79e6 秦
79e9 秩
79f0 称
79fb 移
7a00 稀
7a0b 程
7a0e 税
7a14 稔
7a17 稗
7a1a 稚
7a1c 稜
7a2e 種
7a32 稲
7a3c 稼
7a3d 稽
7a3f 稿
7a40 穀
7a42 穂
7a46 穆
7a4d 積
7a4e 穎
7a4f 穏
7a50 穐
7a63 穣
7a6b 穫
7a74 穴
7a76 究
7a7a 空
7a7f 穿
7a81 突
7a83 窃
7a84 窄
7a92 窒
7a93 窓
7a9f 窟
7aaa 窪
7aae 窮
7aaf 窯
7aba 窺
7ac3 竃
7acb 立
7adc 竜
7ae0 章
7ae3 竣
7ae5 童
7aea 竪
7aef 端
7af6 競
7af9 竹
7afa 竺
7aff 竿
7b08 笈
7b11 笑
7b1b 笛
7b20 笠
7b25 笥
7b26 符
7b2c 第
7b39 笹
7b46 筆
7b48 筈
7b49 等
7b4b 筋
7b4f 筏
7b51 筑
7b52 筒
7b54 答
7b56 策
7b86 箆
7b87 箇
7b94 箔
7b95 箕
7b97 算
7ba1 管
7baa 箪
7bad 箭
7bb1 箱
7bb8 箸
7bc0 節
7bc4 範
7bc7 篇
7bc9 築
7be0 篠
7be4 篤
7bed 篭
7c21 簡
7c38 簸
7c3e 簾
7c3f 簿
7c4d 籍
7c73 米
7c7e 籾
7c81 粁
7c82 粂
7c89 粉
7c8b 粋
7c8d 粍
7c92 粒
7c95 粕
7c97 粗
7c98 粘
7c9b 粛
7c9f 粟
7ca5 粥
7ca7 粧
7cbe 精
7cca 糊
7cce 糎
7cd6 糖
7cde 糞
7cdf 糟
7ce0 糠
7ce7 糧
7cf8 糸
7cfb 系
7cfe 糾
7d00 紀
7d04 約
7d05 紅
7d0b 紋
7d0d 納
7d10 紐
7d14 純
7d17 紗
7d18 紘
7d19 紙
7d1a 級
7d1b 紛
7d20 素
7d21 紡
7d22 索
7d2b 紫
7d2c 紬
7d2f 累
7d30 細
7d33 紳
7d39 紹
7d3a 紺
7d42 終
7d43 絃
7d44 組
7d4c 経
7d50 結
7d5e 絞
7d61 絡
7d62 絢
7d66 給
7d71 統
7d75 絵
7d76 絶
7d79 絹
7d99 継
7d9a 続
7d9c 綜
7dac 綬
7dad 維
7db1 綱
7db2 網
7db4 綴
7dbb 綻
7dbe 綾
7dbf 綿
7dca 緊
7dcb 緋
7dcf 総
7dd1 緑
7dd2 緒
7dda 線
7de0 締
7de8 編
7de9 緩
7dec 緬
7def 緯
7df4 練
7e01 縁
7e04 縄
7e1b 縛
7e1e 縞
7e26 縦
7e2b 縫
7e2e 縮
7e3e 績
7e41 繁
7e4a 繊
7e4b 繋
7e4d 繍
7e54 織
7e55 繕
7e6d 繭
7e70 繰
7e82 纂
7e8f 纏
7f36 缶
7f6a 罪
7f6b 罫
7f6e 置
7f70 罰
7f72 署
7f75 罵
7f77 罷
7f85 羅
7f8a 羊
7f8e 美
7fa4 群
7fa8 羨
7fa9 義
7fbd 羽
7fc1 翁
7fcc 翌
7fd2 習
7fe0 翠
7feb 翫
7ff0 翰
7ffb 翻
7ffc 翼
8000 耀
8001 老
8003 考
8005 者
800c 而
8010 耐
8015 耕
8017 耗
8033 耳
8036 耶
803d 耽
8056 聖
805e 聞
8061 聡
806f 聯
8074 聴
8077 職
807e 聾
8087 肇
8089 肉
808b 肋
808c 肌
8096 肖
8098 肘
809d 肝
80a1 股
80a2 肢
80a5 肥
80a9 肩
80aa 肪
80af 肯
80b1 肱
80b2 育
80b4 肴
80ba 肺
80c3 胃
80c6 胆
80cc 背
80ce 胎
80de 胞
80e1 胡
80e4 胤
80f4 胴
80f8 胸
80fd 能
8102 脂
8105 脅
8106 脆
8107 脇
8108 脈
810a 脊
811a 脚
8131 脱
8133 脳
8139 脹
814e 腎
8150 腐
8154 腔
8155 腕
816b 腫
8170 腰
8178 腸
8179 腹
817a 腺
817f 腿
818f 膏
819a 膚
819c 膜
819d 膝
81a8 膨
81b3 膳
81bf 膿
81c6 臆
81d3 臓
