7a4d 積
7a6b 穫
7a74 穴
7a76 究
7a7a 空
7a81 突
7a93 窓
7aae 窮
7aca 竊
7acb 立
7add 竝
7adf 竟
7ae0 章
7ae5 童
7aef 端
7af6 競
7af9 竹
7b11 笑
7b26 符
7b2c 第
7b46 筆
7b49 等
7b54 答
7b56 策
7b97 算
7ba1 管
7bc0 節
7bc4 範
7bc7 篇
7bc9 築
7be4 篤
7c21 簡
7c3f 簿
7c4d 籍
7c73 米
7c89 粉
7c9f 粟
7ca7 粧
7cbe 精
7cd6 糖
7ce7 糧
7cfb 系
7cfe 糾
7d00 紀
7d04 約
7d05 紅
7d0d 納
7d14 純
7d19 紙
7d1a 級
7d1b 紛
7d20 素
7d22 索
7d2b 紫
7d2f 累
7d30 細
7d42 終
7d43 絃
7d44 組
7d50 結
7d55 絕
7d61 絡
7d66 給
7d71 統
7d72 絲
7d79 絹
7d93 經
7da0 綠
7dad 維
7db1 綱
7dbf 綿
7dca 緊
7dd6 緖
7dda 線
7de3 緣
7de8 編
7de9 緩
7def 緯
7df4 練
7e23 縣
7e2e 縮
7e31 縱
7e3d 總
7e3e 績
7e41 繁
7e54 織
7e6b 繫
7e7c 繼
7e8c 續
7f3a 缺
7f54 罔
7f6a 罪
7f6e 置
7f70 罰
7f72 署
7f77 罷
7f85 羅
7f8a 羊
7f8e 美
7fa4 群
7fa9 義
7fbd 羽
7fc1 翁
7fd2 習
7ffc 翼
8001 老
8003 考
8005 者
800c 而
8010 耐
8015 耕
8033 耳
8036 耶
8056 聖
8058 聘
805e 聞
806f 聯
8070 聰
8072 聲
8077 職
807d 聽
8085 肅
8089 肉
8096 肖
809d 肝
80a5 肥
80a9 肩
80af 肯
80b2 育
80ba 肺
80c3 胃
80cc 背
80de 胞
80e1 胡
80f8 胸
80fd 能
8105 脅
8108 脈
811a 脚
8123 脣
812b 脫
8150 腐
8166 腦
8170 腰
8178 腸
8179 腹
81df 臟
81e3 臣
81e5 臥
81e8 臨
81ea 自
81ed 臭
81f3 至
81f4 致
81fa 臺
8207 與
8208 興
820a 舊
820c 舌
820d 舍
821e 舞
821f 舟
822a 航
822c 般
8239 船
826f 良
8272 色
82b1 花
82b3 芳
82bd 芽
82d7 苗
82df 苟
82e5 若
82e6 苦
82f1 英
8302 茂
832b 茫
8332 茲
8336 茶
8349 草
8352 荒
8377 荷
838a 莊
83ab 莫
83ca 菊
83cc 菌
83dc 菜
83ef 華
842c 萬
843d 落
8449 葉
8457 著
846c 葬
8499 蒙
84b8 蒸
84bc 蒼
84c4 蓄
84cb 蓋
84ee 蓮
852c 蔬
853d 蔽
8584 薄
85a6 薦
85cf 藏
85dd 藝
85e5 藥
8607 蘇
862d 蘭
864e 虎
8655 處
865b 虛
865f 號
86c7 蛇
8702 蜂
871c 蜜
8776 蝶
87a2 螢
87f2 蟲
8840 血
8846 衆
884c 行
8853 術
8857 街
885b 衛
885d 衝
8861 衡
8863 衣
8868 表
88ab 被
88c1 裁
88c2 裂
88cf 裏
88d5 裕
88dc 補
88dd 裝
88f3 裳
88fd 製
8907 複
8972 襲
897f 西
8981 要
8986 覆
898b 見
898f 規
8996 視
89aa 親
89ba 覺
89bd 覽
89c0 觀
89d2 角
89e3 解
89f8 觸
8a00 言
8a02 訂
8a08 計
8a0e 討
8a13 訓
8a18 記
8a1f 訟
8a2a 訪
8a2d 設
8a31 許
8a34 訴
8a50 詐
8a55 評
8a5e 詞
8a60 詠
8a66 試
8a69 詩
8a71 話
8a72 該
8a73 詳
8a87 誇
8a8c 誌
8a8d 認
8a93 誓
8a95 誕
8a98 誘
8a9e 語
8aa0 誠
8aa4 誤
8aa6 誦
8aaa 說
8ab0 誰
8ab2 課
8abf 調
8ac7 談
8acb 請
8ad2 諒
8ad6 論
8af8 諸
8afe 諾
8b00 謀
8b01 謁
8b02 謂
8b19 謙
8b1b 講
8b1d 謝
8b20 謠
8b39 謹
8b49 證
8b58 識
8b5c 譜
8b66 警
8b6f 譯
8b70 議
8b77 護
8b7d 譽
8b80 讀
8b8a 變
8b93 讓
8b9a 讚
8c37 谷
8c46 豆
8c48 豈
8c50 豐
8c5a 豚
8c61 象
8c6a 豪
8c6b 豫
8c8c 貌
8c9d 貝
8c9e 貞
8ca0 負
8ca1 財
8ca2 貢
8ca7 貧
8ca8 貨
8ca9 販
8caa 貪
8cab 貫
8cac 責
8caf 貯
8cb4 貴
8cb7 買
8cb8 貸
8cbb 費
8cbf 貿
8cc0 賀
8cc3 賃
8cc7 資
8cca 賊
8cd3 賓
8cdc 賜
8cde 賞
8ce2 賢
8ce3 賣
8ce4 賤
8ce6 賦
8cea 質
8cf4 賴
8d08 贈
8d0a 贊
8d64 赤
8d70 走
8d74 赴
8d77 起
8d85 超
8d8a 越
8da3 趣
8db3 足
8ddd 距
8de1 跡
8def 路
8df3 跳
8e0f 踏
8e10 踐
8e8d 躍
8eab 身
8eca 車
8ecc 軌
8ecd 軍
8ed2 軒
8edf 軟
8f03 較
8f09 載
8f15 輕
8f1d 輝
8f29 輩
8f2a 輪
8f38 輸
8f3f 輿
8f49 轉
8f9b 辛
8fa8 辨
8fad 辭
8faf 辯
8fb0 辰
8fb1 辱
8fb2 農
8fce 迎
8fd1 近
8fd4 返
8feb 迫
8ff0 述
8ff7 迷
8ffd 追
9000 退
9001 送
9003 逃
9006 逆
900f 透
9010 逐
9014 途
901a 通
901d 逝
901f 速
9020 造
9022 逢
9023 連
902e 逮
9032 進
9038 逸
9042 遂
9047 遇
904a 遊
904b 運
904d 遍
904e 過
9053 道
9054 達
9055 違
9059 遙
905e 遞
9060 遠
9063 遣
9069 適
9072 遲
9075 遵
9077 遷
9078 選
907a 遺
907f 避
9084 還
908a 邊
9091 邑
90a3 那
90a6 邦
90aa 邪
90ca 郊
90de 郞
